,keyword,category,title,summary,date,href
20, AI ,Документи,Пълен проспект и правила на фонд ОТП Консервативен фонд на фондовете със смесени инвестиции,NA,NA,https://dskbank.bg/docs/default-source/otp-%D0%B2%D0%B7%D0%B0%D0%B8%D0%BC%D0%BD%D0%B8-%D1%84%D0%BE%D0%BD%D0%B4%D0%BE%D0%B2%D0%B5/%D0%BF%D1%8A%D0%BB%D0%B5%D0%BD-%D0%BF%D1%80%D0%BE%D1%81%D0%BF%D0%B5%D0%BA%D1%82-%D0%B8-%D0%BF%D1%80%D0%B0%D0%B2%D0%B8%D0%BB%D0%B0-%D0%BD%D0%B0-%D1%84%D0%BE%D0%BD%D0%B4-%D0%BE%D1%82%D0%BF-%D0%BA%D0%BE%D0%BD%D1%81%D0%B5%D1%80%D0%B2%D0%B0%D1%82%D0%B8%D0%B2%D0%B5%D0%BD-%D1%84%D0%BE%D0%BD%D0%B4-%D0%BD%D0%B0-%D1%84%D0%BE%D0%BD%D0%B4%D0%BE%D0%B2%D0%B5%D1%82%D0%B5-%D1%81%D1%8A%D1%81-%D1%81%D0%BC%D0%B5%D1%81%D0%B5%D0%BD%D0%B8-%D0%B8%D0%BD%D0%B2%D0%B5%D1%81%D1%82%D0%B8%D1%86%D0%B8%D0%B8.pdf
21, AI ,Документи,Пълен проспект и правила на фонд  ОТП Динамичен фонд на фондовете със смесени инвестиции,NA,NA,https://dskbank.bg/docs/default-source/otp-%D0%B2%D0%B7%D0%B0%D0%B8%D0%BC%D0%BD%D0%B8-%D1%84%D0%BE%D0%BD%D0%B4%D0%BE%D0%B2%D0%B5/%D0%BF%D1%8A%D0%BB%D0%B5%D0%BD-%D0%BF%D1%80%D0%BE%D1%81%D0%BF%D0%B5%D0%BA%D1%82-%D0%B8-%D0%BF%D1%80%D0%B0%D0%B2%D0%B8%D0%BB%D0%B0-%D0%BD%D0%B0-%D1%84%D0%BE%D0%BD%D0%B4-%D0%BE%D1%82%D0%BF-%D0%B4%D0%B8%D0%BD%D0%B0%D0%BC%D0%B8%D1%87%D0%B5%D0%BD-%D1%84%D0%BE%D0%BD%D0%B4-%D0%BD%D0%B0-%D1%84%D0%BE%D0%BD%D0%B4%D0%BE%D0%B2%D0%B5%D1%82%D0%B5-%D1%81%D1%8A%D1%81-%D1%81%D0%BC%D0%B5%D1%81%D0%B5%D0%BD%D0%B8-%D0%B8%D0%BD%D0%B2%D0%B5%D1%81%D1%82%D0%B8%D1%86%D0%B8%D0%B8.pdf
22, AI ,Документи,"DSK Bank Group consolidated financial statements for the year ended 31 December 2020, management and activity, declaration of corporate government and independent auditor's report",NA,NA,https://dskbank.bg/docs/default-source/%D0%B4%D0%BE%D0%BA%D1%83%D0%BC%D0%B5%D0%BD%D1%82%D0%B8/%D1%84%D0%B8%D0%BD%D0%B0%D0%BD%D1%81%D0%BE%D0%B2%D0%B0-%D0%B8%D0%BD%D1%84%D0%BE%D1%80%D0%BC%D0%B0%D1%86%D0%B8%D1%8F-%D0%B7%D0%B0-%D0%B1%D0%B0%D0%BD%D0%BA%D0%B0-%D0%B4%D1%81%D0%BA/2020/dsk-bank-group-consolidated-financial-statements-for-the-year-ended-31-december-2020-management-and-activity-declaration-of-corporate-government-and-independent-auditor's-report.pdf
23, AI ,Документи,"DSK Bank Separate financial statements for the year ended 31 December 2020, report on the management and activity, declaration of corporate government and independent auditors' report",NA,NA,https://dskbank.bg/docs/default-source/%D0%B4%D0%BE%D0%BA%D1%83%D0%BC%D0%B5%D0%BD%D1%82%D0%B8/%D1%84%D0%B8%D0%BD%D0%B0%D0%BD%D1%81%D0%BE%D0%B2%D0%B0-%D0%B8%D0%BD%D1%84%D0%BE%D1%80%D0%BC%D0%B0%D1%86%D0%B8%D1%8F-%D0%B7%D0%B0-%D0%B1%D0%B0%D0%BD%D0%BA%D0%B0-%D0%B4%D1%81%D0%BA/2020/dsk-bank-separate-financial-statements-for-the-year-ended-31-december-2020-report-on-the-management-and-activity-declaration-of-corporate-government-and-independent-auditors'-report.pdf
24, AI ,Документи,"Consolidated Financial Statement  for the Year Ended December 31, 2017, report on the management and activity, declaration of corporate governance and independent auditors' report",NA,NA,https://dskbank.bg/docs/default-source/%D0%B4%D0%BE%D0%BA%D1%83%D0%BC%D0%B5%D0%BD%D1%82%D0%B8/%D1%84%D0%B8%D0%BD%D0%B0%D0%BD%D1%81%D0%BE%D0%B2%D0%B0-%D0%B8%D0%BD%D1%84%D0%BE%D1%80%D0%BC%D0%B0%D1%86%D0%B8%D1%8F-%D0%B7%D0%B0-%D0%B1%D0%B0%D0%BD%D0%BA%D0%B0-%D0%B4%D1%81%D0%BA/2017/consolidated-financial-statement-for-the-year-ended-december-31-2017-report-on-the-management-and-activity-declaration-of-corporate-governance-and-independent-auditors'-report.pdf
25, AI ,Документи,OTP Planeta H2 2020,NA,NA,https://dskbank.bg/docs/default-source/otp-%D0%B2%D0%B7%D0%B0%D0%B8%D0%BC%D0%BD%D0%B8-%D1%84%D0%BE%D0%BD%D0%B4%D0%BE%D0%B2%D0%B5/%D1%84%D0%B8%D0%BD%D0%B0%D0%BD%D1%81%D0%BE%D0%B2%D0%B8-%D0%BE%D1%82%D1%87%D0%B5%D1%82%D0%B8/otp_planeta_2020_report_bg.pdf
26, AI ,Документи,Asian Equity Yield,NA,NA,https://dskbank.bg/docs/default-source/otp-%D0%B2%D0%B7%D0%B0%D0%B8%D0%BC%D0%BD%D0%B8-%D1%84%D0%BE%D0%BD%D0%B4%D0%BE%D0%B2%D0%B5/%D1%88%D1%80%D1%8C%D0%BE%D0%B4%D0%B5%D1%80%D1%81-%D1%84%D0%BE%D0%BD%D0%B4%D0%BE%D0%B2%D0%B5/%D0%BC%D0%B5%D1%81%D0%B5%D1%87%D0%B5%D0%BD-%D0%B1%D1%8E%D0%BB%D0%B5%D1%82%D0%B8%D0%BD/asian-equity-yield.pdf
27, AI ,Документи,"DSK Bank Separate financial statements for the year ended 31 December 2019, report on the management and activity, declaration of corporate government and independent auditors' report",NA,NA,https://dskbank.bg/docs/default-source/%D0%B4%D0%BE%D0%BA%D1%83%D0%BC%D0%B5%D0%BD%D1%82%D0%B8/%D1%84%D0%B8%D0%BD%D0%B0%D0%BD%D1%81%D0%BE%D0%B2%D0%B0-%D0%B8%D0%BD%D1%84%D0%BE%D1%80%D0%BC%D0%B0%D1%86%D0%B8%D1%8F-%D0%B7%D0%B0-%D0%B1%D0%B0%D0%BD%D0%BA%D0%B0-%D0%B4%D1%81%D0%BA/2019/dsk-bank-separate-financial-statements-for-the-year-ended-31-december-2019-report-on-the-management-and-activity-declaration-of-corporate-government-and-independent-auditors'-reportb57b63b04d38650e9d59ff0900048325.pdf
28, AI ,Документи,Consolidated Financial Statements DSK Bank 2018,NA,NA,https://dskbank.bg/docs/default-source/%D0%B4%D0%BE%D0%BA%D1%83%D0%BC%D0%B5%D0%BD%D1%82%D0%B8/%D1%84%D0%B8%D0%BD%D0%B0%D0%BD%D1%81%D0%BE%D0%B2%D0%B0-%D0%B8%D0%BD%D1%84%D0%BE%D1%80%D0%BC%D0%B0%D1%86%D0%B8%D1%8F-%D0%B7%D0%B0-%D0%B1%D0%B0%D0%BD%D0%BA%D0%B0-%D0%B4%D1%81%D0%BA/2018/consolidated-financial-statements-dsk-bank-2018.pdf
29, AI ,Документи,"DSK Bank Separate financial statements for the year ended 31 December 2020, report on the management and activity, declaration of corporate government and independent auditors' report",NA,NA,https://dskbank.bg/docs/default-source/%D0%B4%D0%BE%D0%BA%D1%83%D0%BC%D0%B5%D0%BD%D1%82%D0%B8/%D1%84%D0%B8%D0%BD%D0%B0%D0%BD%D1%81%D0%BE%D0%B2%D0%B0-%D0%B8%D0%BD%D1%84%D0%BE%D1%80%D0%BC%D0%B0%D1%86%D0%B8%D1%8F-%D0%B7%D0%B0-%D0%B1%D0%B0%D0%BD%D0%BA%D0%B0-%D0%B4%D1%81%D0%BA/2020/dsk-bank-separate-financial-statements-for-the-year-ended-31-december-2020-report-on-the-management-and-activity-declaration-of-corporate-government-and-independent-auditors'-report.pdf
