,keyword,title,summary,date,href
27, AI ,Bulgaria on course for euro adoption,"Petia Dimitrova, Chief Executive Officer and Chairperson of the Management Board of Postbank and of the Executive Board of the Association of Banks in Bulgaria (ABB) for World Finance Magazine, Summer issue – June 2023",26 юни 2023,https://mediacenter.postbank.bg/banks-preparing-adoption-single-european-currency-continue-actively-support-development-economy/
28, AI ,NA,"EFG Factors S.A. клон България стана член на асоциацията на водещите факторинг компании в света 5 февруари 2007 г., София EFG Factors S.A. клон България стана пълноправен член на международната асоциация на водещите факторинг компании в света. Факторинг компанията на Пощенска банка е първият представител на страната ни в Factors Chain International (FCI). Реномираната международна
5 февруари 2007
Научете повече",5 февруари 2007,https://mediacenter.postbank.bg/efg-factors-s-a-%d0%ba%d0%bb%d0%be%d0%bd-%d0%b1%d1%8a%d0%bb%d0%b3%d0%b0%d1%80%d0%b8%d1%8f-%d1%81%d1%82%d0%b0%d0%bd%d0%b0-%d1%87%d0%bb%d0%b5%d0%bd-%d0%bd%d0%b0-%d0%b0%d1%81%d0%be%d1%86%d0%b8%d0%b0/
29, AI ,Escreo ще решава проблем номер 1 в офиса – шумът,"В близкото бъдеще светът ще принадлежи на създаващите. ESCREO прекрасно знаят това и преобразяват офисите на над 2000 компании със своите бои, които превръщат всяка повърхност в дъска за писане. Амбициозната компания вече е част от програмата за растеж “Dare to Scale” на Endeavor Bulgaria и смело преследва мечтаното развитие.",16 септември 2019,https://mediacenter.postbank.bg/escreo-%d1%89%d0%b5-%d1%80%d0%b5%d1%88%d0%b0%d0%b2%d0%b0-%d0%bf%d1%80%d0%be%d0%b1%d0%bb%d0%b5%d0%bc-%d0%bd%d0%be%d0%bc%d0%b5%d1%80-1-%d0%b2-%d0%be%d1%84%d0%b8%d1%81%d0%b0/
30, AI ,NA,"  ПРАВИЛА ЗА УЧАСТИЕ   От 14.11.2022 г. до 17.11.2022 г. в Instagram страницата на Пощенска банка ще бъде публикувана играта “Как се казва нашият иновативен, AI базиран, дигитален финансов асистент?” Всеки изпълнил правилно игровото стори има право на участие в играта. Никакви други действия няма да бъдат считани за заявка за участие. Всеки изпълнил
11 ноември 2022
Научете повече",11 ноември 2022,https://mediacenter.postbank.bg/instagram-%d0%b8%d0%b3%d1%80%d0%b0-%d0%ba%d0%b0%d0%ba-%d1%81%d0%b5-%d0%ba%d0%b0%d0%b7%d0%b2%d0%b0-%d0%bd%d0%b0%d1%88%d0%b8%d1%8f%d1%82-%d0%b8%d0%bd%d0%be%d0%b2%d0%b0%d1%82%d0%b8%d0%b2%d0%b5%d0%bd-ai/
31, AI ,Moré Noir разчупва клишетата за красота,"Moré Noir e една от 10-те компании, участници в Dare to Scale на Endeavor с основен партньор Пощенска банка. Moré Noir е български бранд за бански костюми, зад който седят сестрите Сандра и Карла Клинчеви. Компанията създава колекции, с които руши модни бариери – експериментира със стила, дизайна и материите. Брандът е създаден преди 3 години и вече продава на няколко места по света.",27 септември 2019,https://mediacenter.postbank.bg/more-noir-%d1%80%d0%b0%d0%b7%d1%87%d1%83%d0%bf%d0%b2%d0%b0-%d0%ba%d0%bb%d0%b8%d1%88%d0%b5%d1%82%d0%b0%d1%82%d0%b0-%d0%b7%d0%b0-%d0%ba%d1%80%d0%b0%d1%81%d0%be%d1%82%d0%b0/
32, AI ,"Mrs. Petia Dimitrova, Chief Executive Officer and Chairperson of the Management Board of Postbank: We change banking through innovation",Interview for Economic Magazine.,24 март 2021,https://mediacenter.postbank.bg/mrs-petia-dimitrova-chief-executive-officer-chairperson-management-board-postbank-change-banking-innovation/
33, AI ,Mеждународният “Фестивал на усмивките” ще гостува в Нощта на изкуствата в Стара Загорa,"На 30 септември Международният фестивал за пощенско изкуство (Mail Art), хумористична рисунка и карикатура ще гостува в Нощта на изкуствата в Стара Загора със Smile Art хепънинг.",21 септември 2016,https://mediacenter.postbank.bg/m%d0%b5%d0%b6%d0%b4%d1%83%d0%bd%d0%b0%d1%80%d0%be%d0%b4%d0%bd%d0%b8%d1%8f%d1%82-%d1%84%d0%b5%d1%81%d1%82%d0%b8%d0%b2%d0%b0%d0%bb-%d0%bd%d0%b0-%d1%83%d1%81%d0%bc%d0%b8%d0%b2%d0%ba%d0%b8%d1%82/
34, AI ,Petia Dimitrova at Banks and Business: We Are Ready for New Bank Acquisitions,"“I expect the processes of consolidation in the Bulgarian banking sector to develop. We closely follow the dynamics and all opportunities on the market, and we are ready to participate in further such deals, as the international Eurobank group we are part of has the green light for more investment in Bulgaria,” pointed out Petia Dimitrova. ",2 декември 2021,https://mediacenter.postbank.bg/petia-dimitrova-banks-business-ready-bank-acquisitions/
35, AI ,Petia Dimitrova for CIO Views: The Ripple Effect – One Woman’s Story of transforming the Banking World,The 10 Most Influential Businesswomen to Watch in 2022. ,17 февруари 2022,https://mediacenter.postbank.bg/petia-dimitrova-cio-views-ripple-effect-womans-story-transforming-banking-world/
36, AI ,Petia Dimitrova talks to 24 Chasa: We are launching a large-scale transformation of our even bigger branch network in order to provide excellent consumer experience,"We were able to acquire Piraeus Bank Bulgaria in a record short time, which makes Postbank even bigger and stronger.",30 ноември 2019,https://mediacenter.postbank.bg/petia-dimitrova-talks-24-chasa-launching-large-scale-transformation-bigger-branch-network-order-provide-excellent-consumer-experience/
37, AI ,"Petia Dimitrova, CEO and Chairperson of the Management Board of Postbank",: I believe it is better to lead and pave paths than to follow in somebody else’s steps.,19 август 2017,https://mediacenter.postbank.bg/petia-dimitrova-ceo-chairperson-management-board-postbank/
