,keyword,title,summary,date,href
26,big data,Изцяло дигитално отпускане на потребителски и стокови кредити от УниКредит Кънсюмър Файненсинг,През септември клиентите на дружеството могат да се възползват от страхотни промоции за покупки на изплащане.,2020-09-09T16:19:12+03:00,https://www.unicreditbulbank.bg/bg/za-nas/media/novini/digitalno-otpuskane-na-krediti/
27,big data,"0% лихва, такси, ГПР за 10 месеца от УниКредит Кънсюмър Файненсинг в ИКЕА","Предложението е валидно само за физически лица при кандидатстване за потребителски кредит за покупка на стоки и услуги на обща стойност над 1000 лв. (след приспадане на евентуално използвани ваучери/отстъпки и други подобни), в периода до 30.06.2021",2020-06-22T17:13:58+03:00,https://www.unicreditbulbank.bg/bg/za-nas/media/novini/0-lihva-taksi-gpr-za-10-meseca-ot-ucf-ikea/
28,big data,Вземете iPad Pro онлайн с Apple Pay от iStyle и УниКредит Кънсюмър Файненсинг,"Сега можете да закупите новия <strong>iPad Pro </strong>онлайн от iStyle с Apple Pay или безконтактно с Mastercard, добавена в Apple Wallet.",2020-04-09T17:10:43+03:00,https://www.unicreditbulbank.bg/bg/za-nas/media/novini/vzemete-ipad-pro-onlajn-s-apple-pay-ot-istyle-i-un/
29,big data,Вземете iPad Pro онлайн с Apple Pay от iStyle и УниКредит Кънсюмър Файненсинг,"Сега можете да закупите новия <strong>iPad Pro </strong>онлайн от iStyle с Apple Pay или безконтактно с Mastercard, добавена в Apple Wallet.",2020-04-09T17:10:43+03:00,https://www.unicreditbulbank.bg/bg/za-nas/media/novini/vzemete-ipad-pro-onlajn-s-apple-pay-ot-istyle-i-un/
30,big data,"10% отстъпка за всяка покупка от Гюлиян и 0% лихва, такси, ГПР при покупка на изплащане от УКФ",За всички любители на луксозни аксесоари Гюлиян и УниКредит Кънсюмър Файненсинг имат страхотна оферта.,2020-01-13T15:58:43+02:00,https://www.unicreditbulbank.bg/bg/za-nas/media/novini/10-otstupka-2020/
31,big data,В УниКредит Кънсюмър Файненсинг заедно засаждаме бъдеще,"Доброволци от УниКредит Кънсюмър Файненсинг и филиал Пловдив „Кючук Париж“, заедно с част от семействата сизадружно засадиха65 дръвчета в близост до парк „Белите брези“ в град Пловдив.",2019-11-14T10:58:22+02:00,https://www.unicreditbulbank.bg/bg/za-nas/media/novini/zaedno-zasazhdame-bdeshe/
32,big data,"0% лихва, такси, ГПР от УниКредит Кънсюмър Файненсинг в магазини от веригата MDL",В началото на есента УниКредит Кънсюмър Файненсинг е подготвил поредната страхотна изненада за своите клиенти.,2019-10-09T14:58:51+03:00,https://www.unicreditbulbank.bg/bg/za-nas/media/novini/0-lihva-taksi-gpr-ot-unikredit-knsyumr-MDL/
33,big data,Възползвайте се от разнообразието и пазарувайте с отстъпка на изплащане,"Богат избор от стоки чакат своя нов собственик, сега с допълнителна отстъпка при покупка на изплащане!",2019-08-07T12:11:37+03:00,https://www.unicreditbulbank.bg/bg/za-nas/media/novini/vuzpolzvaite-se-ot-raznoobrazieto/
34,big data,Вземете избрани смартфони от ново поколение с 0% оскъпяване от УниКредит Кънсюмър Файненсинг и eMAG!,"Подарете си летен подарък, запечатайте своите специални моменти и се насладете на всички най-нови функционалности.",2019-07-11T10:22:43+03:00,https://www.unicreditbulbank.bg/bg/za-nas/media/novini/vzemete-izbrani-smartfoni-ot-novo-pokolenie/
35,big data,С УниКредит Кънсюмър Файненсинг и IKEA почивката е още по-достъпна,"До 31 август УниКредит Кънсюмър Файненсинг &nbsp;и IKEA ще са в съвместна промоционална кампания - 0% лихви, такси и ГПР за 10-месечен период на изплащане.",2019-07-04T15:13:49+03:00,https://www.unicreditbulbank.bg/bg/za-nas/media/novini/s-unicredit-consumer-financing-i-ikea/
36,big data,-15% за всяка закупена книга от УниКредит Кънсюмър Файненсинг и Ozonе.Bg!,-15% за всяка закупена книга от УниКредит Кънсюмър Файненсинг и Ozonе.Bg!,2019-06-10T16:59:43+03:00,https://www.unicreditbulbank.bg/bg/za-nas/media/novini/15-procenta-ucf-ozonebg/
37,big data,Промоция до 30 юни от УниКредит Кънсюмър Файненсинг и IKEA ,"До 30 юни УниКредит Кънсюмър Файненсинг &nbsp;и IKEA ще са в съвместна промоционална кампания, 0% лихви, 0% такси, 0% ГПР за 10-месечен период на изплащане.",2019-05-14T15:21:53+03:00,https://www.unicreditbulbank.bg/bg/za-nas/media/novini/promociq-do-30-uni-zaedno-s-ucf/
38,big data,Направете страхотни снимки с невероятните предложения от УКФ и ФотоСинтезис!,Направете най-страхотните снимки с невероятните предложения от УниКредит Кънсюмър Файненсинг и ФотоСинтезис!,2019-05-13T14:31:59+03:00,https://www.unicreditbulbank.bg/bg/za-nas/media/novini/napravete-nai-strahotnite-snimki/
39,big data,Атрактивни великденски оферти от УниКредит Кънсюмър Файненсинг и TОП ШОП!,"Предстоят два от най-светлите и почитани семейни празници – Великден и Гергьовден, а какво е празник без подарък: <strong>УниКредит Кънсюмър Файненсинг</strong> и <strong>ТОП ШОП</strong> са подготвили голямо разнообразие от стоки, които може да закупите на равни месечни вноски, без оскъпяване за 6, 10 или 12 месеца.",2019-04-10T16:26:48+03:00,https://www.unicreditbulbank.bg/bg/za-nas/media/novini/atraktivni-velikdenski-oferti-ot-unicredit-2019/
40,big data,Сега може да вземете мечтания часовник на равни месечни вноски от УниКредит Кънсюмър Файненсинг,"За нас е истинско удоволствие да съобщим на нашите клиенти, че вече могат да пазаруват в любимите си магазини за часовници, на равни месечни вноски към УниКредит Кънсюмър Файненсинг.",2019-03-12T14:01:36+02:00,https://www.unicreditbulbank.bg/bg/za-nas/media/novini/sega-mozhe-da-vzemete-mechtaniya-chasovnik-ucf/
41,big data,За първи път на българския пазар – УниКредит Кънсюмър Файненсинг в партньорство с MDL shop!,В месеца на любовта и виното УниКредит Кънсюмър Файненсинг е подготвил поредната страхотна изненада за своите клиенти.,2019-02-11T18:03:48+02:00,https://www.unicreditbulbank.bg/bg/za-nas/media/novini/za-purvi-put-na-bulgarskiq-pazar-ucf/
42,big data,"0% лихва, такси, ГПР от УниКредит Кънсюмър Файненсинг в eMAG!","До 14 февруари УниКредит Кънсюмър Файненсинг&nbsp;и eMAG ще са в съвместна промоционална кампания, 0% лихва, такси, ГПР за 6 или 10 месечен период на изплащане, за избрани и обозначени с етикет 0% лихва стоки.&nbsp;&nbsp;",2019-02-08T17:20:02+02:00,https://www.unicreditbulbank.bg/bg/za-nas/media/novini/0-lihva-taksi-gpr-ot-unicredit-emag/
43,big data,"0% лихва, такси, ГПР за 6 месеца от УниКредит Кънсюмър Файненсинг в ИКЕА","До 03 март УниКредит Кънсюмър Файненсинг &nbsp;и IKEA &nbsp;&nbsp;ще са в съвместна промоционална кампания, позволяваща закупуването на стоки над 300 лв. на вноски и без оскъпяване - 0% лихва, 0% такси, 0% ГПР за 6 месечен период на изплащане.&nbsp;&nbsp;",2019-02-08T17:12:12+02:00,https://www.unicreditbulbank.bg/bg/za-nas/media/novini/0-lihva-taksi-gpr-za-6-meseca-ikea/
44,big data,Ново партньорство между УниКредит Кънсюмър Файненсинг и Cashterminal ,Ново партньорство между УниКредит Кънсюмър Файненсинг и Cashterminal ще донесе допълнително удобство при плащането на месечни вноски от клиентите.,2018-12-13T12:43:58+02:00,https://www.unicreditbulbank.bg/bg/za-nas/media/novini/novo-partnorstvo-mejdu-ucf-cashterminal/
45,big data,Ново партньорство между УниКредит Кънсюмър Файненсинг и Cashterminal ,Ново партньорство между УниКредит Кънсюмър Файненсинг и Cashterminal ще донесе допълнително удобство при плащането на месечни вноски от клиентите.,2018-12-13T12:43:58+02:00,https://www.unicreditbulbank.bg/bg/za-nas/media/novini/novo-partnorstvo-mejdu-ucf-cashterminal/
46,big data,Теодора Петкова ще поеме от Левон Хампарцумян поста председател на УС и главен изпълнителен директор,Надзорният съвет на УниКредит Булбанк одобри Теодора Петкова да поеме позициите на председател на Управителния съвет и главен изпълнителен директор на УниКредит Булбанк. Промяната ще влезе в силa на 1 май 2019 г. след&nbsp; получаване на необходимите регулаторни одобрения от БНБ.,2018-11-02T09:23:51+02:00,https://www.unicreditbulbank.bg/bg/za-nas/media/novini/teodora-petkova-shte-poeme-ot-levon-hampartzumian/
47,big data,Теодора Петкова ще поеме от Левон Хампарцумян поста председател на УС и главен изпълнителен директор,Надзорният съвет на УниКредит Булбанк одобри Теодора Петкова да поеме позициите на председател на Управителния съвет и главен изпълнителен директор на УниКредит Булбанк. Промяната ще влезе в силa на 1 май 2019 г. след&nbsp; получаване на необходимите регулаторни одобрения от БНБ.,2018-11-02T09:23:51+02:00,https://www.unicreditbulbank.bg/bg/za-nas/media/novini/teodora-petkova-shte-poeme-ot-levon-hampartzumian/
48,big data,Анализ на икономическия екип на УниКредит: България превъзхожда региона на ЦИЕ в растежа ,"Ако се сбъдне прогнозираният ръст от 4.4% за тази година, за периода&nbsp;&nbsp;&nbsp;&nbsp; 2015-2019 ръстът на БВП на страната ще е най-силният след румънския.",2018-04-18T14:27:29+03:00,https://www.unicreditbulbank.bg/bg/za-nas/media/novini/analiz-na-ikonomicheskiya-ekip-na-unikredit-blgari/
